,
Theme: Economy & Prices,
Subject: Prices and Price Indices,
Topic: Consumer Price Index (CPI)/ Inflation Rate,
"Table Title: Consumer Price Index (CPI), 2019 As Base Year, Monthly",
,
Data last updated: 23/10/2023,
Source: SINGAPORE DEPARTMENT OF STATISTICS,
,
Data Series,All Items (Index)
  2005 Jan,76
  2005 Feb,76.6
  2005 Mar,76.4
  2005 Apr,76.8
  2005 May,76.7
  2005 Jun,76
  2005 Jul,76.8
  2005 Aug,77.2
  2005 Sep,77.3
  2005 Oct,77.6
  2005 Nov,77.5
  2005 Dec,77.5
  2006 Jan,77.4
  2006 Feb,77.5
  2006 Mar,77.3
  2006 Apr,77.7
  2006 May,77.6
  2006 Jun,77.1
  2006 Jul,77.7
  2006 Aug,77.7
  2006 Sep,77.6
  2006 Oct,77.9
  2006 Nov,77.9
  2006 Dec,78.2
  2007 Jan,76.9
  2007 Feb,77.5
  2007 Mar,77.4
  2007 Apr,78
  2007 May,78.5
  2007 Jun,78.4
  2007 Jul,80
  2007 Aug,80.4
  2007 Sep,80
  2007 Oct,81.1
  2007 Nov,81.7
  2007 Dec,81.1
  2008 Jan,82
  2008 Feb,82.6
  2008 Mar,82.6
  2008 Apr,83.9
  2008 May,84.5
  2008 Jun,84.3
  2008 Jul,85.2
  2008 Aug,85.5
  2008 Sep,85.4
  2008 Oct,86.3
  2008 Nov,86.2
  2008 Dec,85.5
  2009 Jan,85.5
  2009 Feb,85.2
  2009 Mar,84.8
  2009 Apr,84.2
  2009 May,84.7
  2009 Jun,84.3
  2009 Jul,85
  2009 Aug,85.3
  2009 Sep,85
  2009 Oct,85.5
  2009 Nov,85.6
  2009 Dec,85.1
  2010 Jan,85.7
  2010 Feb,86
  2010 Mar,86.1
  2010 Apr,86.9
  2010 May,87.4
  2010 Jun,86.6
  2010 Jul,87.7
  2010 Aug,88.1
  2010 Sep,88.1
  2010 Oct,88.5
  2010 Nov,88.8
  2010 Dec,89
  2011 Jan,90.4
  2011 Feb,90.3
  2011 Mar,90.5
  2011 Apr,90.8
  2011 May,91.3
  2011 Jun,91.1
  2011 Jul,92.4
  2011 Aug,93.1
  2011 Sep,92.9
  2011 Oct,93.3
  2011 Nov,93.8
  2011 Dec,93.9
  2012 Jan,94.7
  2012 Feb,94.5
  2012 Mar,95.2
  2012 Apr,95.7
  2012 May,95.9
  2012 Jun,95.9
  2012 Jul,96.1
  2012 Aug,96.7
  2012 Sep,97.3
  2012 Oct,97.1
  2012 Nov,97.2
  2012 Dec,97.9
  2013 Jan,98.1
